technology,category,readiness_bucket,target_release,adopt_decision,why_now_or_not,main_risk
bootc,os-update,Ready Now,v1,adopt,"image-based update and rollback fit the product core","bootloader and install flow operational complexity"
Podman,container-runtime,Ready Now,v1,adopt,"daemonless and rootless local-first runtime","gpu runtime integration details"
Quadlet,service-orchestration,Ready Now,v1,adopt,"declarative service units without kubernetes","service model still needs product-specific abstractions"
cgroup v2,resource-control,Ready Now,v1,adopt,"foundation for resource isolation and policy","policy tuning still required"
PSI,resource-observability,Ready Now,v1,adopt,"pressure visibility is directly useful for AI scheduling","needs product thresholds and actions"
systemd-oomd,resource-control,Ready Now,v1,adopt,"OOM prevention is more useful than crash-only handling","false positives if thresholds are poor"
Cosign,trust-chain,Ready Now,v1,adopt,"practical signed artifact verification for OCI workflows","key management and signer policy design"
OpenTelemetry Collector,observability,Ready Now,v1,adopt,"standard export path for metrics and traces","AI-specific metrics still need product schema"
NVIDIA Container Toolkit,gpu-runtime,Ready Now,v1,adopt,"practical standard for NVIDIA GPU containers","driver version compatibility"
ROCm container support,gpu-runtime,Ready Now,v1,adopt,"realistic AMD path for enterprise deployments","GPU generation and distro variance"
OpenVINO NPU,npu-runtime,Pilot Now,v1.5,limited,"official NPU path exists but workload constraints remain","static shape and hardware support constraints"
DAMON,memory-observation,Pilot Now,v1.5,limited,"useful signal source for future memory fabric logic","moving from observation to safe control is hard"
Multi-Gen LRU,memory-management,Pilot Now,v1.5,limited,"helps thrashing but is not AI-specific by itself","limited differentiation if exposed raw"
Bottlerocket API-driven model,os-ux,Pilot Now,v1.5,adapt,"strong inspiration for API-driven admin model","too orchestration-centric to adopt directly"
Flatcar update-engine patterns,os-update,Pilot Now,v1.5,adapt,"good reference for passive partition and reboot strategy","bootc path is more coherent for product core"
SLE transactional-update,os-update,Pilot Now,v1.5,adapt,"snapshot-based rollback design is instructive","package mutation less attractive than image mutation"
CXL memory,memory-tiering,Watch,v2,watch,"strategically important for future large-model memory hierarchy","real hardware adoption and ops maturity"
GPUDirect Storage,io-optimization,Watch,v2,watch,"major load-time upside for large models","filesystem and deployment constraints"
Confidential Containers,attestation,Watch,v2,watch,"best path toward attested model execution","heavy dependency stack and operational complexity"
